lat,lon,id,DAYS_OF_OPERATION,HOURLY_RATE,MAX_TIME,HOURS_OF_OPERATION,TYPE_OF_METER
34.14205527,-118.1522804,158,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14199922,-118.1522781,159,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14194137,-118.1522788,160,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14188889,-118.1522794,161,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14189231,-118.1524042,162,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14194419,-118.152405,163,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.1419925,-118.1524065,164,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14204199,-118.1524059,165,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14210848,-118.1524074,166,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14217348,-118.1524083,167,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14102572,-118.1522735,168,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14157523,-118.1522795,169,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14150128,-118.1522787,170,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14143688,-118.1522778,171,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14137307,-118.1522777,172,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14131345,-118.152274,173,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.1411496,-118.1524,174,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14129957,-118.1524002,175,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.1413592,-118.1524011,176,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14142241,-118.1524012,177,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14148622,-118.152402,178,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14155181,-118.152405,179,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
